"num","ema_5","ema_20","ema_60","roc_5","roc_20","roc_60","force_5","force_20","force_60","mfm","acdl","target","Output:target(t+1)","Output:target(t+2)","Output:target(t+3)"
620,886.857,871.871,831.022,-3.875,6.625,8.327,-15462732.182,2453298.727,5623615.012,-0.408,57800628.646,881.270,706.0104541104,698.2603022959,669.9502436643
621,884.995,872.766,832.670,-2.834,6.876,7.276,-4325546.021,3929063.257,6027720.300,-0.852,55877533.246,868.310,689.5749218696,690.9203266935,677.7619372717
622,879.433,872.342,833.838,-2.373,5.836,3.543,-11585240.068,1068711.694,4974200.679,-0.413,55045370.300,870.760,697.6774742097,690.9862656844,669.6479229788
623,876.542,872.191,835.049,-1.363,4.960,4.737,-5991353.995,1461826.594,4981486.497,-0.303,54401772.163,871.220,687.4236944622,686.9661421725,674.4473450212
624,874.768,872.098,836.235,-0.240,3.015,4.638,-3692191.257,1408903.511,4847868.390,-0.219,53969567.251,867.630,683.2564141571,683.7589319153,675.5584549331
625,872.389,871.673,837.264,-1.548,0.706,4.343,-5425599.384,427825.497,4397367.274,0.331,54789132.682,859.100,685.5655394774,679.8841005875,669.5208374393
626,867.959,870.476,837.980,-1.061,0.218,2.908,-8930531.206,-1131052.632,3730555.401,-0.391,54058376.466,859.700,687.1157402747,681.3966020902,668.3392400407
627,865.206,869.449,838.692,-1.270,-1.594,3.877,-5532279.271,-902930.990,3649692.096,-0.583,52830409.389,864.640,686.2891024858,680.8760573979,666.7033583451
628,865.017,868.991,839.543,-0.755,-0.785,4.765,559563.386,396705.171,3947841.493,0.823,54953757.723,879.730,687.0951288296,680.9326271842,663.0528917762
629,869.922,870.014,840.860,1.395,-0.057,7.083,13829645.327,4203667.460,5142004.369,0.963,57530617.645,890.220,679.3711111298,677.107578326,667.7622825639
630,876.688,871.938,842.479,3.622,1.446,9.323,17395613.605,6139275.336,5777596.034,0.857,59534469.194,879.810,676.0328754886,677.452509062,670.1159165014
631,877.728,872.688,843.703,2.339,-0.822,8.916,5514602.957,3816733.081,4989890.645,-0.922,57917513.232,871.980,690.9138577997,682.8830142882,660.5306977047
632,875.812,872.621,844.630,0.849,-4.794,7.477,-2078775.919,1808898.153,4260204.602,-0.715,56340936.913,877.000,696.6531948852,687.0089905315,660.3094996463
633,876.208,873.038,845.691,-0.310,-2.973,7.646,2080056.114,2626881.203,4461434.621,0.624,57634011.034,875.040,699.668579565,689.7257231508,660.1921986822
634,875.819,873.228,846.653,-1.705,-3.755,7.862,-78290.084,1958132.281,4171060.290,-0.828,55777770.968,886.250,680.0831795949,685.5518713905,675.433210395
635,879.296,874.469,847.952,0.732,-2.452,9.372,7971543.471,4064139.738,4823524.234,0.430,56700242.486,900.620,676.2847874402,683.5827338686,674.4244661606
