NUM,EMA_5,EMA_20,EMA_60,ROC_5,ROC_20,ROC_60,FORCE_5,FORCE_20,FORCE_60,MFM,ACDL,TARGET
114,65.169,65.790,67.785,4.389,-1.377,-5.600,4269185.064,469576.360,-769045.160,-0.349,-19672081.019,66.330
115,65.556,65.841,67.738,4.671,0.515,-8.143,2382108.569,292279.143,-789471.365,0.198,-18612431.821,67.330
116,66.147,65.983,67.724,6.585,0.538,-6.343,3798421.713,895971.415,-546175.649,0.707,-13927173.968,68.100
117,66.798,66.185,67.737,3.779,0.295,-2.770,3884038.215,1196857.110,-395308.538,0.080,-13507139.502,68.880
118,67.492,66.441,67.774,3.439,2.166,-1.726,3681333.070,1394863.365,-274940.298,0.518,-11333073.102,69.420
119,68.135,66.725,67.828,4.659,2.028,-3.530,3344778.707,1516463.995,-178330.125,0.612,-8307600.835,69.640
120,68.636,67.003,67.888,3.431,3.971,-4.681,2535867.191,1459471.629,-142383.427,-0.211,-9188126.927,71.040
121,69.438,67.387,67.991,4.317,6.571,-0.851,4196580.461,2036474.998,108776.915,0.638,-5763163.108,69.140
122,69.338,67.554,68.029,0.377,6.108,-3.691,127404.574,1079577.646,-157443.548,-0.923,-9656673.080,69.040
123,69.239,67.696,68.062,-0.547,6.560,-0.519,-29427.417,944085.356,-163530.363,-0.210,-10375726.912,68.790
124,69.089,67.800,68.086,-1.221,5.393,2.534,-314789.528,769837.822,-187201.949,0.600,-8250493.912,67.560
125,68.580,67.777,68.068,-4.899,1.839,0.074,-1634816.326,289389.466,-321223.850,-0.951,-11555421.028,67.490
126,68.216,67.750,68.049,-2.386,1.565,0.641,-1182581.280,235341.784,-319810.320,-0.033,-11685683.881,67.620
127,68.018,67.737,68.035,-2.057,4.465,-0.280,-646424.704,253489.086,-295361.180,-0.077,-11937688.881,69.510
128,68.515,67.906,68.084,1.047,8.592,4.636,2607080.298,1097355.868,13145.426,0.523,-9416400.505,68.770
129,68.600,67.988,68.106,1.791,7.807,2.336,851040.198,739413.404,-74532.785,-0.559,-11425200.505,68.700
130,68.633,68.056,68.126,1.793,8.411,1.268,496461.496,648736.327,-79062.724,-0.373,-12557195.544,69.480
131,68.916,68.192,68.170,2.751,9.989,0.725,1258370.410,851922.223,14748.783,0.430,-11021771.571,67.570
