NUM,EMA_5,EMA_10,EMA_15,ROC_5,ROC_10,ROC_15,FORCE_5,FORCE_10,FORCE_15,MFM,ACDL,TARGET
215,67.248,69.139,70.209,-5.105,-8.945,-10.531,-458646.529,-2853144.585,-2646756.434,0.928,-6748848.269,65.810
216,66.769,68.534,69.659,-0.288,-11.688,-13.111,-4078357.859,-4392169.300,-3730634.445,-0.646,-11688621.536,69.210
217,67.582,68.657,69.603,3.068,-5.811,-8.222,4857051.827,538747.154,-423321.239,0.517,-8234876.402,69.850
218,68.338,68.874,69.634,10.104,-3.455,-8.597,4195890.551,963260.035,-11210.084,0.289,-6935154.034,69.860
219,68.846,69.053,69.662,3.819,-1.661,-6.741,2809177.038,794621.849,-5340.073,0.221,-6146820.480,69.000
220,68.897,69.043,69.579,4.847,-2.694,-6.631,583681.098,-53002.265,-488086.411,0.267,-4945365.862,70.200
221,69.331,69.254,69.657,1.430,6.364,-5.797,1944749.932,805159.528,156285.340,0.389,-3430674.272,66.490
222,68.384,68.751,69.261,-4.810,-0.983,-9.513,-4824452.202,-2679934.290,-2158607.386,-0.468,-5747882.606,66.000
223,67.589,68.251,68.853,-5.525,4.035,-8.777,-4051896.345,-2648452.533,-2202129.541,-0.488,-8242105.093,65.280
224,66.820,67.711,68.407,-5.391,-2.987,-8.108,-3618959.190,-2667476.596,-2270998.959,-0.877,-11595703.478,69.120
225,67.586,67.967,68.496,-1.538,5.030,-2.524,3388530.460,981793.650,188314.631,1.000,-7063539.478,70.770
226,68.648,68.477,68.780,6.437,2.254,7.227,4853820.757,2218631.414,1137825.471,0.928,-2686767.635,69.660
227,68.985,68.692,68.890,5.545,-0.272,3.738,1618911.685,933260.891,389233.980,-0.615,-5374315.175,70.680
228,69.550,69.053,69.114,8.272,1.174,11.412,2834018.536,1720710.227,998608.762,0.942,-512886.985,69.780
229,69.627,69.185,69.197,0.955,1.130,3.700,-1376599.809,-373570.996,-350946.896,0.280,2539936.851,69.470
230,69.574,69.237,69.231,-1.837,-1.040,5.561,-1573158.766,-663153.847,-552863.119,-0.646,-1556472.899,68.930
231,69.360,69.181,69.194,-1.048,3.670,-0.405,-2373581.691,-1265203.610,-980558.671,-0.182,-2894663.990,68.930
232,69.216,69.136,69.161,-2.476,4.439,-1.317,-1582387.794,-1035166.590,-857988.837,-0.702,-5573208.270,65.800
233,68.078,68.529,68.741,-5.704,0.797,-5.812,-8028410.783,-4650673.893,-3365797.328,-0.516,-9020226.282,64.860
234,67.005,67.862,68.255,-6.636,-6.163,-6.000,-7928555.982,-5210341.618,-3911178.459,0.883,-1755972.816,67.890
