NUM,EMA_5,EMA_10,EMA_15,ROC_5,ROC_10,ROC_15,FORCE_5,FORCE_10,FORCE_15,MFM,ACDL,TARGET
715,899.347,898.802,898.853,0.994,-0.701,-2.393,-1497072.161,-1765507.432,-2495318.206,-0.880,60422124.146,890.650
716,896.448,897.320,897.828,-1.501,0.332,-2.199,-3722001.921,-2930299.070,-3204886.110,-0.667,59501869.479,892.660
717,895.185,896.473,897.182,-1.534,0.826,-0.439,-1484344.464,-1853704.612,-2430404.040,0.397,60092004.972,890.410
718,893.594,895.370,896.335,-1.612,0.923,-2.228,-1982383.726,-2058206.001,-2498911.316,-0.851,58964889.628,885.510
719,890.899,893.578,894.982,-1.234,-0.607,-2.024,-3571267.351,-2911083.928,-3030176.727,0.443,59575044.578,881.250
720,887.683,891.336,893.266,-1.055,-0.732,-2.398,-4397900.940,-3482008.326,-3407800.651,-0.179,59320978.204,869.810
721,881.725,887.422,890.334,-2.560,-3.805,-2.015,-10875980.547,-7182032.223,-5960843.039,-0.594,58082516.893,859.660
722,874.370,882.375,886.500,-3.453,-5.174,-2.902,-13580234.298,-9328706.692,-7589330.385,-0.520,57109262.095,856.910
723,868.550,877.745,882.801,-3.230,-5.314,-2.874,-10589260.949,-8470271.702,-7216578.368,-0.875,55644008.380,865.650
724,867.583,875.546,880.657,-1.770,-3.449,-2.836,-1782222.466,-4051703.302,-4335524.259,0.127,55874327.023,865.420
725,866.862,873.705,878.752,-0.505,-2.833,-2.515,-1282928.167,-3366728.078,-3829126.173,-0.561,55180464.037,869.330
